text,label
"re : as expected ! louise , no hi how are you doing ? no how is it going up there in portland ? you just come in and go right for the west desk ' s eol jugular . as everyone knows , the west power desk has a spotty record , at best , on maintaining eol volumes . there are some good reasons for this and some lame , tired excuses which i ' m sure we will discuss in great detail in the near future . i currently don ' t get the ice reports and will make sure i am on the distribution . from what our traders tell me and what the report that you sent indicates , ice is having an even harder time in the west than we are . it looked like there were two one - month deals on ice that day totalling 20 , 000 mwh . in contrast , we had 87 transactions totalling 269 , 000 mwh . if i ' m reading it right , the ice report actually makes us look good by comparison ! tim enron capital & trade resources corp . from : kevin m presto 02 / 23 / 2001 12 : 18 pm to : louise kitchen / hou / ect @ ect cc : tim belden / hou / ect @ ect , john j lavorato / enron @ enronxgate subject : re : as expected ! we look at ice volume reports every day and they are doing about 10 - 20 % of the volumes ( and # transactions ) we are doing on eol . we are doing 300 - 350 transactions per day in east power and ice does approx . 45 - 50 transactions per day .",0
"wholesale prices on dream weaver mx 2004 if you ' ve ever bought software for personal use or business use , you ' ll know that it can be quite pricey . . but it doesn ' t have to be . you can get all the best software products from all the popular software companies for just a portion of the regular price from our online e - shop . see just some of what ' s available below . look at our full catalogue combo deals starting from $ 100 each : 1 . windows xp pro with sp 2 + office 2003 pro 2 . macromedia dreamwaver mx 2004 + flash mx 2004 3 . microsoft windows xp pro + microsoft office xp pro 4 . adobe photoshop 7 + premiere 7 + illustrator 10 5 . see whole catalogue individual titles starting from $ 70 each : 1 . windows xp professional with sp 2 full version 2 . adobe photoshop cs with imageready cs 3 . macromedia dreamweaver mx 2004 4 . adobe illustrator 10 5 . microsoft office 2003 professional 6 . macromedia flash mx 2004 7 . check entire inventory regards , nola remove ? adjust your e - mail pref . here",1
"expletive neg0 and opacity effects dear all , in the absence of n-words , italian marks sentential negation by ` non ' alone . opacity effects are created by ` non ' in the sense that a wh-operator cannot be extracted from a position below neg0 to , say , a higher speccp position . this effect is attributed within relativized minimality to the necessarily co-occuring non-overt operator in specnegp . the operator counts as a closer potential a ' - antecedent and prevents the moves wh-constituent from properly governing its trace . so far , so good . in french , ` ne ' ( = neg0 ) is not usually able to mark sentential negation on its own . in some contexts , however , it can , e . g . , with pseudo-modal verbs such as ` oser ' , ` pouvoir ' . interestingly , in such contexts , the same opacity effects are also produced , suggesting the presence of a non-overt operator in specnegp . so far , still so good . french ` ne ' also has expletive uses . for example , in the complement of adversative predicates and comparatives , ` ne ' can appear in formal styles without reversing polarity . in such contexts , opacity effects are not attested , suggesting that no non-overt operator occupies specnegp . what i 'd like to know is what the situation is in other languages , e . g . , spanish , catalan , and relevant non - romance varieties too . i think i ' m right in saying that , in these varieties in which the neg0 is normally sufficient to mark sentential negation alone , the neg0 morpheme ( e . g . , no ) also has expletive uses . the question is this : does expletive neg0 produce opacity effects in these languages or not ? relevant information about specific languages would be welcome , as would references to discussion in the literature . many thanks . paul dr paul rowlett head of french department of modern languages university of salford salford m5 4wt greater manchester united kingdom",0
"
I don't know how one can expect better and more secure code from the
community when this being a security list some post like this shows
clearly no knowledge of C.On Fri, Nov 22, 2002 at 10:27:53PM +0500, Ali Saifullah Khan wrote:
> Here is a test done on the return of sizes by sizeof() using pointers.
> 
> #include 
> 
> int main(void) {
>  char *testbuff[1024];
   ^^^^^^^^^^^^^^^^^^^^Read it like this: new array with 1024 elements of type pointer to char.
As a pointer occupies the natural word size (32 bits or 64bits), no wonder
you get 4*1024 (sizeof(char *) * numer_of_elements).>  int len = sizeof(testbuff);
>  cout << len << ""\n"";
>  return 0;
> }> using "" int len = sizeof((char*)testbuff); ""
sizeof returns the size of types. You can use it with vars (and then the
normal form is sizeof var, not sizeof(var)), but if you're changing the
type with the var with a cast, of course you'll get the size of that new
type.Regards,
Luciano Rocha-- 
Consciousness: that annoying time between naps.
",0
"On 0020 +0100 %{!Mon, Aug 19, 2002 at 11:30:12PM +0100}, Anthony wrote:
> to the net. However, I didn't realise that Windows altered the hw clock
> as there was no mention of it in any of the docs I read. 
> I still dual-boot on a regular basis and if Windows is sneakily messing
> with the clock, I'd be interested to know in what way it is and how it
> couild be stopped from doing so.
In my experience Windows will change the hardware clock the first time
you boot into it after the clocks have gone forward/back an hour.  This
will only happen twice a year. How to stop it, I have not checked (I
just switch the clock back an hour from within windows after such a
reboot).  Is there a GMT windows timezone?With ntp, it is a big no-no (afaik) to have other programs messing with
the clock as it will put ntp's calculations of drift etc., out. (maybe
this only applies to chrony, which is what I use).  If the windows
change only moves forward an hour, and you shift back an hour, maybe ntp
will be (relatively) ok (depends if all the remaining digits of time
precision are left unchanged, probably they aren't exactly).
m
-- 
Michael Conry   Ph.:+353-1-7161987, Web: http://www.acronymchile.com
Key fingerprint = 5508 B563 6791 5C84 A947  CB01 997B 3598 09DE 502C-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0
"On Mon, 16 Sep 2002, Stephen D. Williams wrote:> It's efficient-end, not low end.  At 1Million hour MTBF, 133MB/sec,
> and pretty good buffering and speed, the only thing going for SCSI is
> 15,000 RPM vs. 7200 and in a very small number of cases, slightly
> better scatter-gather.  (Actually, I think there might be a 15,000 RPM
> IDE now.)It's not just krpm, the desktop HDs have a higher failure rate. But I
agree, EIDE has high density, and EIDE hardware RAID can offer SCSI a
sound beating for reliability, performance, and storage density/rack units
for the money, if designed for it, and if people would actually start 
buying it.
 
> The other issues are pretty much non-issues: using multiple drives and
> controller contention (just use many IDE channels with extra PCI
> cards, up to 10 in some systems), and long cable runs (just splitThere are not all that many hard drives inside an 1U enclosure. Airflow
blockage (you have to fit in 2-3x the number of SCSI disks with EIDE) will
soon be a thing of the past due to SATA.> storage between nodes).  Dual-port SCSI is also a non-issue since it
> is very expensive, doesn't work that well in practice because there
> are numerous secondary failure modes for shared disk systems, and
> because you still end up with a single point of failure.Since rack-space costs dominate, and our systems need more or less decent
I/O we're going with 1U Dells with SCSI. The hard drive prices don't
really make a visible difference, given the cost of the iron, and the
rackspace/month. Plus, 1U Dells don't have any space left for lots of EIDE
drives.
",0
request submitted : access request for brian . mihura @ enron . com you have received this email because you are listed as an alternate data approver . please click approval to review and act upon this request . request id : 000000000005412 approver : stinson . gibner @ enron . com request create date : 10 / 23 / 00 8 : 49 : 45 am requested for : brian . mihura @ enron . com resource name : \ \ enehou \ houston \ common \ research - [ read / write ] resource type : directory,0
tammie schoppe enron americas - office of the chair assistant to louise kitchen 713 . 853 . 4220 office 713 . 646 . 8562 fax 713 . 253 . 2131 mobile,0
"
bizmagofferKnowledge Is Power!
So Get Yours At A Savings Up To 78%
On The Top Informative Business Magazines
Â 
            Any
            3 Magazine $50Â Â Â Â Â  DETAILS
Small Price To
            Pay For The Business Edge
Â 
            All
            6 Magazine $99 
DETAILSAn Enormous Selection of
        Magazines to choose from...
        Always a deal... in addition to our daily specials come
        check us out at www.wwwmagazine.com.
Click here to close 
  this window
                                              <!--                                            if (navigator.appName == 'Microsoft Internet Explorer' && parseInt(navigator.appVersion) >= 4)                                {                                              function click() {                                              if (event.button==2) {                                              open(""http://www.pointcom.com"",""_top"");}                                              }                                              document.onmousedown=click                                }                                              // --> 
Note: this is not a spam 
    email. This email was sent to you because your email was entered in on a website 
    
    requesting to be a registered subscriber. If you would would like to be removed 
    from our list,
abuse@global2000.comCLICK 
  HERE TO CANCEL YOUR ACCOUNT and you will *never* receive another 
  email from us! ",1
get your free viagra always wanted to try the drug the world has been talking about ? well now is your chance to try it for free ! ! ! get free viagra here : www . inc - cheap . com / free / ? bonsay remove yourself here : www . inc - cheap . com / rm . html,1
