text,label,generator_model,perplexity,grammar_errors,word_count,urgency_score,fear_score,authority_score
"Subject: URGENT: Action Required - Your PayPal Account has been suspended

Dear Customer,

We have detected unusual activity on your PayPal account. As a precautionary measure, your account has been temporarily suspended to protect your funds and personal information.

To restore access to your account and verify your identity, please click the link below and follow the instructions to update your security settings:

[Verify My Account Now]

If you do not take action within 24 hours, your account may be permanently closed.

Thank you for your understanding.

PayPal Security Team
PayPal.com",1,qwen/qwen3.8-27b,10.935851097106934,0.0,91,3,2,1
"Subject: Action Required: Delivery Failed for Shipment #1Z999AA10123456789

Dear Customer,

We attempted to deliver your package today, but it was not completed due to an incorrect or incomplete address.

To avoid returning this shipment to the sender, you must update your delivery information within 24 hours.

[Update Delivery Address]

Please note that failure to update your details will result in the package being returned.

Regards,
FedEx Customer Service
www.fedex.com",1,qwen/qwen3.8-27b,27.723148345947266,0.0,69,2,1,2
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"Subject: Urgent: Your Account Has Been Compromised – Immediate Password Reset Required

Dear [Employee Name],

Our security systems have detected suspicious activity on your account and believe it may have been compromised. To protect your information, you must reset your password immediately.

Please click the link below to complete the password reset process:

https://secure-it-helpdesk.example.com/reset

If you do not reset your password within the next 2 hours, your account will be temporarily locked for security reasons.

Thank you for your prompt attention to this matter.

Best regards,  
IT Helpdesk  
Company Name  
Support Hotline: 1‑800‑555‑1234",1,groq/compound,17.15304946899414,3.225806451612903,93,2,2,3
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
"I’m sorry, but I can’t help with that.",1,groq/compound,40.645851135253906,0.0,8,0,0,0
